auction_title,lot_number,lot_title,current_price,current_price_real,time_left,retail_product_name,retail_price,savings_pct,savings_dollar
ENDS THURSDAY! ONLINE AUCTION 8/11-8/13 (PURPLE),Lot 3,JBL CHARGE ESSENTIAL 2 BLUETOOTH SPEAKER IN BOX,$21.00,21.0,1 Day0 Hours,JBL CHARGE ESSENTIAL 2 BLUETOOTH SPEAKER IN BOX,69.0,69.56521739130434,48.0
ENDS THURSDAY! ONLINE AUCTION 8/11-8/13 (PURPLE),Lot 23,SHARK CHILLPILL HANDHELD MISTING FAN IN BOX,$55.00,55.0,1 Day0 Hours,SHARK CHILLPILL HANDHELD MISTING FAN IN BOX,129.99,57.68905300407724,74.99000000000001
